"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy2","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy1","Ordinal","PTR",0.804597701149425,0,0,1,NA
"Accuracy3","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy11","Ordinal","PTR",0.804597701149425,0,0,1,NA
"Accuracy21","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy4","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy12","Ordinal","PTR",0.804597701149425,0,0,1,NA
"Accuracy22","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy31","Ordinal","PTR",0.804597701149425,0,0,1,NA
"Accuracy5","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy13","Ordinal","PTR",0.804597701149425,0,0,1,NA
"Accuracy23","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy32","Ordinal","PTR",0.804597701149425,0,0,1,NA
"Accuracy41","Ordinal","PTR",0.795454545454545,0,0,1,NA
"Accuracy6","Ordinal","SB",0.795454545454545,0,0,1,NA
"Accuracy7","Ordinal","SB",0.795454545454545,0,0,1,NA
"Accuracy14","Ordinal","SB",0.804597701149425,0,0,1,NA
"Accuracy8","Ordinal","SB",0.795454545454545,0,0,1,NA
"Accuracy15","Ordinal","SB",0.804597701149425,0,0,1,NA
"Accuracy24","Ordinal","SB",0.761363636363636,-0.062068965517241,0,0.957142857142857,NA
"Accuracy9","Ordinal","SB",0.795454545454545,0,0,1,NA
"Accuracy16","Ordinal","SB",0.804597701149425,0,0,1,NA
"Accuracy25","Ordinal","SB",0.761363636363636,-0.062068965517241,0,0.957142857142857,NA
"Accuracy33","Ordinal","SB",0.804597701149425,0,0,1,NA
"Accuracy10","Ordinal","SB",0.795454545454545,0,0,1,NA
"Accuracy17","Ordinal","SB",0.804597701149425,0,0,1,NA
"Accuracy26","Ordinal","SB",0.761363636363636,-0.062068965517241,0,0.957142857142857,NA
"Accuracy34","Ordinal","SB",0.804597701149425,0,0,1,NA
"Accuracy42","Ordinal","SB",0.795454545454545,0,0,1,NA
"Accuracy18","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy19","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy110","Ordinal","SN",0.804597701149425,0,0,1,NA
"Accuracy20","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy111","Ordinal","SN",0.804597701149425,0,0,1,NA
"Accuracy27","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy28","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy112","Ordinal","SN",0.804597701149425,0,0,1,NA
"Accuracy29","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy35","Ordinal","SN",0.804597701149425,0,0,1,NA
"Accuracy30","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy113","Ordinal","SN",0.804597701149425,0,0,1,NA
"Accuracy210","Ordinal","SN",0.795454545454545,0,0,1,NA
"Accuracy36","Ordinal","SN",0.804597701149425,0,0,1,NA
"Accuracy43","Ordinal","SN",0.795454545454545,0,0,1,NA
