"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy2","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy1","Ordinal","PTR",0.195402298850575,0,1,0,0.326923076923077
"Accuracy3","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy11","Ordinal","PTR",0.195402298850575,0,1,0,0.326923076923077
"Accuracy21","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy4","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy12","Ordinal","PTR",0.195402298850575,0,1,0,0.326923076923077
"Accuracy22","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy31","Ordinal","PTR",0.195402298850575,0,1,0,0.326923076923077
"Accuracy5","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy13","Ordinal","PTR",0.195402298850575,0,1,0,0.326923076923077
"Accuracy23","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy32","Ordinal","PTR",0.195402298850575,0,1,0,0.326923076923077
"Accuracy41","Ordinal","PTR",0.204545454545455,0,1,0,0.339622641509434
"Accuracy6","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy7","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy14","Ordinal","SB",0.195402298850575,0,1,0,0.326923076923077
"Accuracy8","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy15","Ordinal","SB",0.195402298850575,0,1,0,0.326923076923077
"Accuracy24","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy9","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy16","Ordinal","SB",0.195402298850575,0,1,0,0.326923076923077
"Accuracy25","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy33","Ordinal","SB",0.195402298850575,0,1,0,0.326923076923077
"Accuracy10","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy17","Ordinal","SB",0.195402298850575,0,1,0,0.326923076923077
"Accuracy26","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy34","Ordinal","SB",0.195402298850575,0,1,0,0.326923076923077
"Accuracy42","Ordinal","SB",0.204545454545455,0,1,0,0.339622641509434
"Accuracy18","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy19","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy110","Ordinal","SN",0.195402298850575,0,1,0,0.326923076923077
"Accuracy20","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy111","Ordinal","SN",0.195402298850575,0,1,0,0.326923076923077
"Accuracy27","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy28","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy112","Ordinal","SN",0.195402298850575,0,1,0,0.326923076923077
"Accuracy29","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy35","Ordinal","SN",0.195402298850575,0,1,0,0.326923076923077
"Accuracy30","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy113","Ordinal","SN",0.195402298850575,0,1,0,0.326923076923077
"Accuracy210","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
"Accuracy36","Ordinal","SN",0.195402298850575,0,1,0,0.326923076923077
"Accuracy43","Ordinal","SN",0.204545454545455,0,1,0,0.339622641509434
