"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.357142857142857,0.0684345594525235,0.935483870967742,0.211382113821138,0.369426751592357
"Accuracy2","Ordinal","DTHD",0.357142857142857,0.0684345594525235,0.935483870967742,0.211382113821138,0.369426751592357
"Accuracy1","Ordinal","DTHD",0.401315789473684,0.0397111913357401,0.766666666666667,0.311475409836066,0.335766423357664
"Accuracy3","Ordinal","DTHD",0.357142857142857,0.0684345594525235,0.935483870967742,0.211382113821138,0.369426751592357
"Accuracy11","Ordinal","DTHD",0.401315789473684,0.0397111913357401,0.766666666666667,0.311475409836066,0.335766423357664
"Accuracy21","Ordinal","DTHD",0.396103896103896,0.0943467813329961,0.935483870967742,0.260162601626016,0.384105960264901
"Accuracy4","Ordinal","DTHD",0.357142857142857,0.0684345594525235,0.935483870967742,0.211382113821138,0.369426751592357
"Accuracy12","Ordinal","DTHD",0.401315789473684,0.0397111913357401,0.766666666666667,0.311475409836066,0.335766423357664
"Accuracy22","Ordinal","DTHD",0.396103896103896,0.0943467813329961,0.935483870967742,0.260162601626016,0.384105960264901
"Accuracy31","Ordinal","DTHD",0.375,0.0462351387054161,0.833333333333333,0.262295081967213,0.344827586206897
"Accuracy5","Ordinal","DTHD",0.357142857142857,0.0684345594525235,0.935483870967742,0.211382113821138,0.369426751592357
"Accuracy13","Ordinal","DTHD",0.401315789473684,0.0397111913357401,0.766666666666667,0.311475409836066,0.335766423357664
"Accuracy23","Ordinal","DTHD",0.396103896103896,0.0943467813329961,0.935483870967742,0.260162601626016,0.384105960264901
"Accuracy32","Ordinal","DTHD",0.375,0.0462351387054161,0.833333333333333,0.262295081967213,0.344827586206897
"Accuracy41","Ordinal","DTHD",0.38961038961039,0.0457481872116019,0.806451612903226,0.284552845528455,0.347222222222222
"Accuracy6","Ordinal","DTMT",0.428571428571429,0.0729237925844848,0.806451612903226,0.333333333333333,0.36231884057971
"Accuracy7","Ordinal","DTMT",0.428571428571429,0.0729237925844848,0.806451612903226,0.333333333333333,0.36231884057971
"Accuracy14","Ordinal","DTMT",0.427631578947368,0.0819216884198833,0.833333333333333,0.327868852459016,0.364963503649635
"Accuracy8","Ordinal","DTMT",0.428571428571429,0.0729237925844848,0.806451612903226,0.333333333333333,0.36231884057971
"Accuracy15","Ordinal","DTMT",0.427631578947368,0.0819216884198833,0.833333333333333,0.327868852459016,0.364963503649635
"Accuracy24","Ordinal","DTMT",0.415584415584416,0.0863546473302572,0.870967741935484,0.300813008130081,0.375
"Accuracy9","Ordinal","DTMT",0.428571428571429,0.0729237925844848,0.806451612903226,0.333333333333333,0.36231884057971
"Accuracy16","Ordinal","DTMT",0.427631578947368,0.0819216884198833,0.833333333333333,0.327868852459016,0.364963503649635
"Accuracy25","Ordinal","DTMT",0.415584415584416,0.0863546473302572,0.870967741935484,0.300813008130081,0.375
"Accuracy33","Ordinal","DTMT",0.460526315789474,0.1061388410786,0.833333333333333,0.368852459016393,0.378787878787879
"Accuracy10","Ordinal","DTMT",0.428571428571429,0.0729237925844848,0.806451612903226,0.333333333333333,0.36231884057971
"Accuracy17","Ordinal","DTMT",0.427631578947368,0.0819216884198833,0.833333333333333,0.327868852459016,0.364963503649635
"Accuracy26","Ordinal","DTMT",0.415584415584416,0.0863546473302572,0.870967741935484,0.300813008130081,0.375
"Accuracy34","Ordinal","DTMT",0.460526315789474,0.1061388410786,0.833333333333333,0.368852459016393,0.378787878787879
"Accuracy42","Ordinal","DTMT",0.480519480519481,0.157203447804077,0.935483870967742,0.365853658536585,0.420289855072464
"Accuracy18","Ordinal","GY",0.545454545454545,0.202308716886192,0.903225806451613,0.455284552845528,0.444444444444444
"Accuracy19","Ordinal","GY",0.545454545454545,0.202308716886192,0.903225806451613,0.455284552845528,0.444444444444444
"Accuracy110","Ordinal","GY",0.526315789473684,0.171411265899455,0.866666666666667,0.442622950819672,0.419354838709677
"Accuracy20","Ordinal","GY",0.545454545454545,0.202308716886192,0.903225806451613,0.455284552845528,0.444444444444444
"Accuracy111","Ordinal","GY",0.526315789473684,0.171411265899455,0.866666666666667,0.442622950819672,0.419354838709677
"Accuracy27","Ordinal","GY",0.493506493506494,0.146025878003697,0.870967741935484,0.398373983739837,0.409090909090909
"Accuracy28","Ordinal","GY",0.545454545454545,0.202308716886192,0.903225806451613,0.455284552845528,0.444444444444444
"Accuracy112","Ordinal","GY",0.526315789473684,0.171411265899455,0.866666666666667,0.442622950819672,0.419354838709677
"Accuracy29","Ordinal","GY",0.493506493506494,0.146025878003697,0.870967741935484,0.398373983739837,0.409090909090909
"Accuracy35","Ordinal","GY",0.493421052631579,0.166144200626959,0.933333333333333,0.385245901639344,0.421052631578947
"Accuracy30","Ordinal","GY",0.545454545454545,0.202308716886192,0.903225806451613,0.455284552845528,0.444444444444444
"Accuracy113","Ordinal","GY",0.526315789473684,0.171411265899455,0.866666666666667,0.442622950819672,0.419354838709677
"Accuracy210","Ordinal","GY",0.493506493506494,0.146025878003697,0.870967741935484,0.398373983739837,0.409090909090909
"Accuracy36","Ordinal","GY",0.493421052631579,0.166144200626959,0.933333333333333,0.385245901639344,0.421052631578947
