"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.383116883116883,0.0855106888361045,0.935483870967742,0.24390243902439,0.379084967320261
"Accuracy2","Ordinal","DTHD",0.383116883116883,0.0855106888361045,0.935483870967742,0.24390243902439,0.379084967320261
"Accuracy1","Ordinal","DTHD",0.388157894736842,0.0430544272948822,0.8,0.286885245901639,0.340425531914894
"Accuracy3","Ordinal","DTHD",0.383116883116883,0.0855106888361045,0.935483870967742,0.24390243902439,0.379084967320261
"Accuracy11","Ordinal","DTHD",0.388157894736842,0.0430544272948822,0.8,0.286885245901639,0.340425531914894
"Accuracy21","Ordinal","DTHD",0.409090909090909,0.0590841949778435,0.806451612903226,0.308943089430894,0.354609929078014
"Accuracy4","Ordinal","DTHD",0.383116883116883,0.0855106888361045,0.935483870967742,0.24390243902439,0.379084967320261
"Accuracy12","Ordinal","DTHD",0.388157894736842,0.0430544272948822,0.8,0.286885245901639,0.340425531914894
"Accuracy22","Ordinal","DTHD",0.409090909090909,0.0590841949778435,0.806451612903226,0.308943089430894,0.354609929078014
"Accuracy31","Ordinal","DTHD",0.394736842105263,0.0474114441416893,0.8,0.295081967213115,0.342857142857143
"Accuracy5","Ordinal","DTHD",0.383116883116883,0.0855106888361045,0.935483870967742,0.24390243902439,0.379084967320261
"Accuracy13","Ordinal","DTHD",0.388157894736842,0.0430544272948822,0.8,0.286885245901639,0.340425531914894
"Accuracy23","Ordinal","DTHD",0.409090909090909,0.0590841949778435,0.806451612903226,0.308943089430894,0.354609929078014
"Accuracy32","Ordinal","DTHD",0.394736842105263,0.0474114441416893,0.8,0.295081967213115,0.342857142857143
"Accuracy41","Ordinal","DTHD",0.396103896103896,0.0943467813329961,0.935483870967742,0.260162601626016,0.384105960264901
"Accuracy6","Ordinal","DTMT",0.363636363636364,0.0170639572749772,0.774193548387097,0.260162601626016,0.328767123287671
"Accuracy7","Ordinal","DTMT",0.363636363636364,0.0170639572749772,0.774193548387097,0.260162601626016,0.328767123287671
"Accuracy14","Ordinal","DTMT",0.407894736842105,0.0796555435952637,0.866666666666667,0.295081967213115,0.366197183098592
"Accuracy8","Ordinal","DTMT",0.363636363636364,0.0170639572749772,0.774193548387097,0.260162601626016,0.328767123287671
"Accuracy15","Ordinal","DTMT",0.407894736842105,0.0796555435952637,0.866666666666667,0.295081967213115,0.366197183098592
"Accuracy24","Ordinal","DTMT",0.409090909090909,0.0817717206132879,0.870967741935484,0.292682926829268,0.372413793103448
"Accuracy9","Ordinal","DTMT",0.363636363636364,0.0170639572749772,0.774193548387097,0.260162601626016,0.328767123287671
"Accuracy16","Ordinal","DTMT",0.407894736842105,0.0796555435952637,0.866666666666667,0.295081967213115,0.366197183098592
"Accuracy25","Ordinal","DTMT",0.409090909090909,0.0817717206132879,0.870967741935484,0.292682926829268,0.372413793103448
"Accuracy33","Ordinal","DTMT",0.348684210526316,0.0630136986301369,0.933333333333333,0.204918032786885,0.361290322580645
"Accuracy10","Ordinal","DTMT",0.363636363636364,0.0170639572749772,0.774193548387097,0.260162601626016,0.328767123287671
"Accuracy17","Ordinal","DTMT",0.407894736842105,0.0796555435952637,0.866666666666667,0.295081967213115,0.366197183098592
