"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","DTHD",0.778350515463918,0.0178949846950782,0.0512820512820513,0.961290322580645,0.0851063829787234
"Accuracy2","Ordinal","DTHD",0.778350515463918,0.0178949846950782,0.0512820512820513,0.961290322580645,0.0851063829787234
"Accuracy1","Ordinal","DTHD",0.776041666666667,0.0622444343480239,0.105263157894737,0.941558441558442,0.156862745098039
"Accuracy3","Ordinal","DTHD",0.778350515463918,0.0178949846950782,0.0512820512820513,0.961290322580645,0.0851063829787234
"Accuracy11","Ordinal","DTHD",0.776041666666667,0.0622444343480239,0.105263157894737,0.941558441558442,0.156862745098039
"Accuracy21","Ordinal","DTHD",0.787564766839378,0.111597619849557,0.128205128205128,0.954545454545455,0.196078431372549
"Accuracy4","Ordinal","DTHD",0.778350515463918,0.0178949846950782,0.0512820512820513,0.961290322580645,0.0851063829787234
"Accuracy12","Ordinal","DTHD",0.776041666666667,0.0622444343480239,0.105263157894737,0.941558441558442,0.156862745098039
"Accuracy22","Ordinal","DTHD",0.787564766839378,0.111597619849557,0.128205128205128,0.954545454545455,0.196078431372549
"Accuracy31","Ordinal","DTHD",0.786458333333333,0.105860972285325,0.131578947368421,0.948051948051948,0.196078431372549
"Accuracy5","Ordinal","DTHD",0.778350515463918,0.0178949846950782,0.0512820512820513,0.961290322580645,0.0851063829787234
"Accuracy13","Ordinal","DTHD",0.776041666666667,0.0622444343480239,0.105263157894737,0.941558441558442,0.156862745098039
"Accuracy23","Ordinal","DTHD",0.787564766839378,0.111597619849557,0.128205128205128,0.954545454545455,0.196078431372549
"Accuracy32","Ordinal","DTHD",0.786458333333333,0.105860972285325,0.131578947368421,0.948051948051948,0.196078431372549
"Accuracy41","Ordinal","DTHD",0.766839378238342,0.0249242169080499,0.0769230769230769,0.941558441558442,0.117647058823529
"Accuracy6","Ordinal","DTMT",0.757731958762887,0.00783460282916155,0.0769230769230769,0.929032258064516,0.113207547169811
"Accuracy7","Ordinal","DTMT",0.757731958762887,0.00783460282916155,0.0769230769230769,0.929032258064516,0.113207547169811
"Accuracy14","Ordinal","DTMT",0.78125,0.0718232044198897,0.105263157894737,0.948051948051948,0.16
"Accuracy8","Ordinal","DTMT",0.757731958762887,0.00783460282916155,0.0769230769230769,0.929032258064516,0.113207547169811
"Accuracy15","Ordinal","DTMT",0.78125,0.0718232044198897,0.105263157894737,0.948051948051948,0.16
"Accuracy24","Ordinal","DTMT",0.797927461139896,0.0839722526469515,0.0769230769230769,0.980519480519481,0.133333333333333
"Accuracy9","Ordinal","DTMT",0.757731958762887,0.00783460282916155,0.0769230769230769,0.929032258064516,0.113207547169811
"Accuracy16","Ordinal","DTMT",0.78125,0.0718232044198897,0.105263157894737,0.948051948051948,0.16
"Accuracy25","Ordinal","DTMT",0.797927461139896,0.0839722526469515,0.0769230769230769,0.980519480519481,0.133333333333333
"Accuracy33","Ordinal","DTMT",0.786458333333333,0.0561151079136691,0.0789473684210526,0.961038961038961,0.127659574468085
"Accuracy10","Ordinal","DTMT",0.757731958762887,0.00783460282916155,0.0769230769230769,0.929032258064516,0.113207547169811
"Accuracy17","Ordinal","DTMT",0.78125,0.0718232044198897,0.105263157894737,0.948051948051948,0.16
"Accuracy26","Ordinal","DTMT",0.797927461139896,0.0839722526469515,0.0769230769230769,0.980519480519481,0.133333333333333
"Accuracy34","Ordinal","DTMT",0.786458333333333,0.0561151079136691,0.0789473684210526,0.961038961038961,0.127659574468085
"Accuracy42","Ordinal","DTMT",0.787564766839378,0.0632177104297386,0.0769230769230769,0.967532467532468,0.127659574468085
"Accuracy18","Ordinal","GY",0.793814432989691,0.258551500095547,0.307692307692308,0.916129032258065,0.375
"Accuracy19","Ordinal","GY",0.793814432989691,0.258551500095547,0.307692307692308,0.916129032258065,0.375
"Accuracy110","Ordinal","GY",0.786458333333333,0.2099558410277,0.263157894736842,0.915584415584416,0.327868852459016
"Accuracy20","Ordinal","GY",0.793814432989691,0.258551500095547,0.307692307692308,0.916129032258065,0.375
"Accuracy111","Ordinal","GY",0.786458333333333,0.2099558410277,0.263157894736842,0.915584415584416,0.327868852459016
"Accuracy27","Ordinal","GY",0.787564766839378,0.293923440706701,0.384615384615385,0.88961038961039,0.422535211267606
"Accuracy28","Ordinal","GY",0.793814432989691,0.258551500095547,0.307692307692308,0.916129032258065,0.375
"Accuracy112","Ordinal","GY",0.786458333333333,0.2099558410277,0.263157894736842,0.915584415584416,0.327868852459016
"Accuracy29","Ordinal","GY",0.787564766839378,0.293923440706701,0.384615384615385,0.88961038961039,0.422535211267606
"Accuracy35","Ordinal","GY",0.776041666666667,0.171417101565636,0.236842105263158,0.909090909090909,0.295081967213115
"Accuracy30","Ordinal","GY",0.793814432989691,0.258551500095547,0.307692307692308,0.916129032258065,0.375
"Accuracy113","Ordinal","GY",0.786458333333333,0.2099558410277,0.263157894736842,0.915584415584416,0.327868852459016
"Accuracy210","Ordinal","GY",0.787564766839378,0.293923440706701,0.384615384615385,0.88961038961039,0.422535211267606
"Accuracy36","Ordinal","GY",0.776041666666667,0.171417101565636,0.236842105263158,0.909090909090909,0.295081967213115
"Accuracy43","Ordinal","GY",0.808290155440414,0.255913306241534,0.256410256410256,0.948051948051948,0.350877192982456
