"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","NPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy2","Ordinal","NPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy1","Ordinal","NPP",0.828125,0.284552845528455,0.230769230769231,0.980392156862745,0.352941176470588
"Accuracy3","Ordinal","NPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy11","Ordinal","NPP",0.828125,0.284552845528455,0.230769230769231,0.980392156862745,0.352941176470588
"Accuracy21","Ordinal","NPP",0.854838709677419,0.447524752475248,0.416666666666667,0.96,0.526315789473684
"Accuracy4","Ordinal","NPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy12","Ordinal","NPP",0.828125,0.284552845528455,0.230769230769231,0.980392156862745,0.352941176470588
"Accuracy22","Ordinal","NPP",0.854838709677419,0.447524752475248,0.416666666666667,0.96,0.526315789473684
"Accuracy31","Ordinal","NPP",0.796875,0.215094339622642,0.230769230769231,0.941176470588235,0.315789473684211
"Accuracy5","Ordinal","NPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy13","Ordinal","NPP",0.828125,0.284552845528455,0.230769230769231,0.980392156862745,0.352941176470588
"Accuracy23","Ordinal","NPP",0.854838709677419,0.447524752475248,0.416666666666667,0.96,0.526315789473684
"Accuracy32","Ordinal","NPP",0.796875,0.215094339622642,0.230769230769231,0.941176470588235,0.315789473684211
"Accuracy41","Ordinal","NPP",0.875,0.533697632058288,0.461538461538462,0.980392156862745,0.6
"Accuracy6","Ordinal","PYPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy7","Ordinal","PYPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy14","Ordinal","PYPP",0.890625,0.577358490566038,0.461538461538462,1,0.631578947368421
"Accuracy8","Ordinal","PYPP",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy15","Ordinal","PYPP",0.890625,0.577358490566038,0.461538461538462,1,0.631578947368421
"Accuracy24","Ordinal","PYPP",0.854838709677419,0.447524752475248,0.416666666666667,0.96,0.526315789473684
