"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","NPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy2","Ordinal","NPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy1","Ordinal","NPP",0.6875,0.281705948372615,0.692307692307692,0.686274509803922,0.473684210526316
"Accuracy3","Ordinal","NPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy11","Ordinal","NPP",0.6875,0.281705948372615,0.692307692307692,0.686274509803922,0.473684210526316
"Accuracy21","Ordinal","NPP",0.693548387096774,0.334463276836158,0.833333333333333,0.66,0.512820512820513
"Accuracy4","Ordinal","NPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy12","Ordinal","NPP",0.6875,0.281705948372615,0.692307692307692,0.686274509803922,0.473684210526316
"Accuracy22","Ordinal","NPP",0.693548387096774,0.334463276836158,0.833333333333333,0.66,0.512820512820513
"Accuracy31","Ordinal","NPP",0.796875,0.422222222222222,0.615384615384615,0.843137254901961,0.551724137931034
"Accuracy5","Ordinal","NPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy13","Ordinal","NPP",0.6875,0.281705948372615,0.692307692307692,0.686274509803922,0.473684210526316
"Accuracy23","Ordinal","NPP",0.693548387096774,0.334463276836158,0.833333333333333,0.66,0.512820512820513
"Accuracy32","Ordinal","NPP",0.796875,0.422222222222222,0.615384615384615,0.843137254901961,0.551724137931034
"Accuracy41","Ordinal","NPP",0.734375,0.402197802197802,0.846153846153846,0.705882352941177,0.564102564102564
"Accuracy6","Ordinal","PYPP",0.828125,0.483870967741935,0.615384615384615,0.882352941176471,0.592592592592593
"Accuracy7","Ordinal","PYPP",0.828125,0.483870967741935,0.615384615384615,0.882352941176471,0.592592592592593
"Accuracy14","Ordinal","PYPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
"Accuracy8","Ordinal","PYPP",0.828125,0.483870967741935,0.615384615384615,0.882352941176471,0.592592592592593
"Accuracy15","Ordinal","PYPP",0.78125,0.450306748466258,0.769230769230769,0.784313725490196,0.588235294117647
