"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","NPP",0.390625,0.111111111111111,1,0.235294117647059,0.4
"Accuracy2","Ordinal","NPP",0.390625,0.111111111111111,1,0.235294117647059,0.4
"Accuracy1","Ordinal","NPP",0.3125,0.0105411103302881,0.846153846153846,0.176470588235294,0.333333333333333
"Accuracy3","Ordinal","NPP",0.390625,0.111111111111111,1,0.235294117647059,0.4
"Accuracy11","Ordinal","NPP",0.3125,0.0105411103302881,0.846153846153846,0.176470588235294,0.333333333333333
"Accuracy21","Ordinal","NPP",0.451612903225806,0.127483443708609,0.916666666666667,0.34,0.392857142857143
"Accuracy4","Ordinal","NPP",0.390625,0.111111111111111,1,0.235294117647059,0.4
"Accuracy12","Ordinal","NPP",0.3125,0.0105411103302881,0.846153846153846,0.176470588235294,0.333333333333333
"Accuracy22","Ordinal","NPP",0.451612903225806,0.127483443708609,0.916666666666667,0.34,0.392857142857143
"Accuracy31","Ordinal","NPP",0.328125,0.0457697642163662,0.923076923076923,0.176470588235294,0.358208955223881
"Accuracy5","Ordinal","NPP",0.390625,0.111111111111111,1,0.235294117647059,0.4
"Accuracy13","Ordinal","NPP",0.3125,0.0105411103302881,0.846153846153846,0.176470588235294,0.333333333333333
"Accuracy23","Ordinal","NPP",0.451612903225806,0.127483443708609,0.916666666666667,0.34,0.392857142857143
"Accuracy32","Ordinal","NPP",0.328125,0.0457697642163662,0.923076923076923,0.176470588235294,0.358208955223881
"Accuracy41","Ordinal","NPP",0.34375,0.0022271714922049,0.769230769230769,0.235294117647059,0.32258064516129
"Accuracy6","Ordinal","PYPP",0.359375,0.0901525658807212,1,0.196078431372549,0.388059701492537
"Accuracy7","Ordinal","PYPP",0.359375,0.0901525658807212,1,0.196078431372549,0.388059701492537
"Accuracy14","Ordinal","PYPP",0.34375,0.0296028880866426,0.846153846153846,0.215686274509804,0.34375
"Accuracy8","Ordinal","PYPP",0.359375,0.0901525658807212,1,0.196078431372549,0.388059701492537
"Accuracy15","Ordinal","PYPP",0.34375,0.0296028880866426,0.846153846153846,0.215686274509804,0.34375
"Accuracy24","Ordinal","PYPP",0.387096774193548,0.0825545171339564,0.916666666666667,0.26,0.366666666666667
"Accuracy9","Ordinal","PYPP",0.359375,0.0901525658807212,1,0.196078431372549,0.388059701492537
"Accuracy16","Ordinal","PYPP",0.34375,0.0296028880866426,0.846153846153846,0.215686274509804,0.34375
"Accuracy25","Ordinal","PYPP",0.387096774193548,0.0825545171339564,0.916666666666667,0.26,0.366666666666667
"Accuracy33","Ordinal","PYPP",0.34375,0.0555165144061841,0.923076923076923,0.196078431372549,0.363636363636364
"Accuracy10","Ordinal","PYPP",0.359375,0.0901525658807212,1,0.196078431372549,0.388059701492537
"Accuracy17","Ordinal","PYPP",0.34375,0.0296028880866426,0.846153846153846,0.215686274509804,0.34375
"Accuracy26","Ordinal","PYPP",0.387096774193548,0.0825545171339564,0.916666666666667,0.26,0.366666666666667
"Accuracy34","Ordinal","PYPP",0.34375,0.0555165144061841,0.923076923076923,0.196078431372549,0.363636363636364
"Accuracy42","Ordinal","PYPP",0.359375,0.0655270655270655,0.923076923076923,0.215686274509804,0.369230769230769
"Accuracy18","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy19","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy110","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy20","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy111","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy27","Ordinal","SYPP",0.290322580645161,0.0501392757660168,1,0.12,0.352941176470588
"Accuracy28","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy112","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy29","Ordinal","SYPP",0.290322580645161,0.0501392757660168,1,0.12,0.352941176470588
"Accuracy35","Ordinal","SYPP",0.421875,0.133235724743777,1,0.274509803921569,0.412698412698413
"Accuracy30","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy113","Ordinal","SYPP",0.375,0.075812274368231,0.923076923076923,0.235294117647059,0.375
"Accuracy210","Ordinal","SYPP",0.290322580645161,0.0501392757660168,1,0.12,0.352941176470588
"Accuracy36","Ordinal","SYPP",0.421875,0.133235724743777,1,0.274509803921569,0.412698412698413
"Accuracy43","Ordinal","SYPP",0.328125,0.0457697642163662,0.923076923076923,0.176470588235294,0.358208955223881
"Accuracy37","Ordinal","YPH",0.28125,0.0180120080053369,0.923076923076923,0.117647058823529,0.342857142857143
"Accuracy38","Ordinal","YPH",0.28125,0.0180120080053369,0.923076923076923,0.117647058823529,0.342857142857143
"Accuracy114","Ordinal","YPH",0.453125,0.105431309904153,0.846153846153846,0.352941176470588,0.385964912280702
"Accuracy39","Ordinal","YPH",0.28125,0.0180120080053369,0.923076923076923,0.117647058823529,0.342857142857143
"Accuracy115","Ordinal","YPH",0.453125,0.105431309904153,0.846153846153846,0.352941176470588,0.385964912280702
"Accuracy211","Ordinal","YPH",0.419354838709677,0.104333868378812,0.916666666666667,0.3,0.379310344827586
"Accuracy40","Ordinal","YPH",0.28125,0.0180120080053369,0.923076923076923,0.117647058823529,0.342857142857143
"Accuracy116","Ordinal","YPH",0.453125,0.105431309904153,0.846153846153846,0.352941176470588,0.385964912280702
"Accuracy212","Ordinal","YPH",0.419354838709677,0.104333868378812,0.916666666666667,0.3,0.379310344827586
"Accuracy310","Ordinal","YPH",0.265625,0.00922266139657444,0.923076923076923,0.0980392156862745,0.338028169014085
"Accuracy44","Ordinal","YPH",0.28125,0.0180120080053369,0.923076923076923,0.117647058823529,0.342857142857143
"Accuracy117","Ordinal","YPH",0.453125,0.105431309904153,0.846153846153846,0.352941176470588,0.385964912280702
"Accuracy213","Ordinal","YPH",0.419354838709677,0.104333868378812,0.916666666666667,0.3,0.379310344827586
"Accuracy311","Ordinal","YPH",0.265625,0.00922266139657444,0.923076923076923,0.0980392156862745,0.338028169014085
"Accuracy45","Ordinal","YPH",0.4375,0.119938884644767,0.923076923076923,0.313725490196078,0.4
