"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GC",0.776119402985075,-0.0286591606960081,0,0.981132075471698,NA
"Accuracy2","Ordinal","GC",0.776119402985075,-0.0286591606960081,0,0.981132075471698,NA
"Accuracy1","Ordinal","GC",0.8,0,0,1,NA
"Accuracy3","Ordinal","GC",0.776119402985075,-0.0286591606960081,0,0.981132075471698,NA
"Accuracy11","Ordinal","GC",0.8,0,0,1,NA
"Accuracy21","Ordinal","GC",0.8,0,0,1,NA
"Accuracy4","Ordinal","GC",0.776119402985075,-0.0286591606960081,0,0.981132075471698,NA
"Accuracy12","Ordinal","GC",0.8,0,0,1,NA
"Accuracy22","Ordinal","GC",0.8,0,0,1,NA
"Accuracy31","Ordinal","GC",0.769230769230769,-0.0563380281690143,0,0.961538461538462,NA
"Accuracy5","Ordinal","GC",0.776119402985075,-0.0286591606960081,0,0.981132075471698,NA
"Accuracy13","Ordinal","GC",0.8,0,0,1,NA
"Accuracy23","Ordinal","GC",0.8,0,0,1,NA
"Accuracy32","Ordinal","GC",0.769230769230769,-0.0563380281690143,0,0.961538461538462,NA
"Accuracy41","Ordinal","GC",0.784615384615385,-0.029411764705883,0,0.980769230769231,NA
"Accuracy6","Ordinal","GY",0.791044776119403,0,0,1,NA
"Accuracy7","Ordinal","GY",0.791044776119403,0,0,1,NA
"Accuracy14","Ordinal","GY",0.8,0,0,1,NA
"Accuracy8","Ordinal","GY",0.791044776119403,0,0,1,NA
"Accuracy15","Ordinal","GY",0.8,0,0,1,NA
"Accuracy24","Ordinal","GY",0.8,0,0,1,NA
"Accuracy9","Ordinal","GY",0.791044776119403,0,0,1,NA
"Accuracy16","Ordinal","GY",0.8,0,0,1,NA
"Accuracy25","Ordinal","GY",0.8,0,0,1,NA
"Accuracy33","Ordinal","GY",0.8,0,0,1,NA
"Accuracy10","Ordinal","GY",0.791044776119403,0,0,1,NA
"Accuracy17","Ordinal","GY",0.8,0,0,1,NA
"Accuracy26","Ordinal","GY",0.8,0,0,1,NA
"Accuracy34","Ordinal","GY",0.8,0,0,1,NA
"Accuracy42","Ordinal","GY",0.8,0,0,1,NA
"Accuracy18","Ordinal","PH",0.880597014925373,0.61877667140825,0.642857142857143,0.943396226415094,0.692307692307692
"Accuracy19","Ordinal","PH",0.880597014925373,0.61877667140825,0.642857142857143,0.943396226415094,0.692307692307692
"Accuracy110","Ordinal","PH",0.769230769230769,0.257425742574257,0.384615384615385,0.865384615384615,0.4
"Accuracy20","Ordinal","PH",0.880597014925373,0.61877667140825,0.642857142857143,0.943396226415094,0.692307692307692
"Accuracy111","Ordinal","PH",0.769230769230769,0.257425742574257,0.384615384615385,0.865384615384615,0.4
"Accuracy27","Ordinal","PH",0.784615384615385,0.239130434782608,0.307692307692308,0.903846153846154,0.363636363636364
"Accuracy28","Ordinal","PH",0.880597014925373,0.61877667140825,0.642857142857143,0.943396226415094,0.692307692307692
"Accuracy112","Ordinal","PH",0.769230769230769,0.257425742574257,0.384615384615385,0.865384615384615,0.4
"Accuracy29","Ordinal","PH",0.784615384615385,0.239130434782608,0.307692307692308,0.903846153846154,0.363636363636364
"Accuracy35","Ordinal","PH",0.830769230769231,0.337349397590362,0.307692307692308,0.961538461538462,0.421052631578947
"Accuracy30","Ordinal","PH",0.880597014925373,0.61877667140825,0.642857142857143,0.943396226415094,0.692307692307692
"Accuracy113","Ordinal","PH",0.769230769230769,0.257425742574257,0.384615384615385,0.865384615384615,0.4
"Accuracy210","Ordinal","PH",0.784615384615385,0.239130434782608,0.307692307692308,0.903846153846154,0.363636363636364
"Accuracy36","Ordinal","PH",0.830769230769231,0.337349397590362,0.307692307692308,0.961538461538462,0.421052631578947
"Accuracy43","Ordinal","PH",0.876923076923077,0.534883720930233,0.461538461538462,0.980769230769231,0.6
"Accuracy37","Ordinal","PHR",0.73134328358209,-0.102376599634369,0,0.924528301886792,NA
"Accuracy38","Ordinal","PHR",0.73134328358209,-0.102376599634369,0,0.924528301886792,NA
"Accuracy114","Ordinal","PHR",0.784615384615385,0.186046511627907,0.230769230769231,0.923076923076923,0.3
"Accuracy39","Ordinal","PHR",0.73134328358209,-0.102376599634369,0,0.924528301886792,NA
"Accuracy115","Ordinal","PHR",0.784615384615385,0.186046511627907,0.230769230769231,0.923076923076923,0.3
"Accuracy211","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy40","Ordinal","PHR",0.73134328358209,-0.102376599634369,0,0.924528301886792,NA
"Accuracy116","Ordinal","PHR",0.784615384615385,0.186046511627907,0.230769230769231,0.923076923076923,0.3
"Accuracy212","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy310","Ordinal","PHR",0.784615384615385,0.0540540540540533,0.0769230769230769,0.961538461538462,0.125
"Accuracy44","Ordinal","PHR",0.73134328358209,-0.102376599634369,0,0.924528301886792,NA
"Accuracy117","Ordinal","PHR",0.784615384615385,0.186046511627907,0.230769230769231,0.923076923076923,0.3
"Accuracy213","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy311","Ordinal","PHR",0.784615384615385,0.0540540540540533,0.0769230769230769,0.961538461538462,0.125
"Accuracy45","Ordinal","PHR",0.723076923076923,-0.0465116279069769,0.0769230769230769,0.884615384615385,0.1
