"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GC",0.208955223880597,0,1,0,0.345679012345679
"Accuracy2","Ordinal","GC",0.208955223880597,0,1,0,0.345679012345679
"Accuracy1","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy3","Ordinal","GC",0.208955223880597,0,1,0,0.345679012345679
"Accuracy11","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy21","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy4","Ordinal","GC",0.208955223880597,0,1,0,0.345679012345679
"Accuracy12","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy22","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy31","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy5","Ordinal","GC",0.208955223880597,0,1,0,0.345679012345679
"Accuracy13","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy23","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy32","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy41","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy6","Ordinal","GY",0.208955223880597,0,1,0,0.345679012345679
"Accuracy7","Ordinal","GY",0.208955223880597,0,1,0,0.345679012345679
"Accuracy14","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy8","Ordinal","GY",0.208955223880597,0,1,0,0.345679012345679
"Accuracy15","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy24","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy9","Ordinal","GY",0.208955223880597,0,1,0,0.345679012345679
"Accuracy16","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy25","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy33","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy10","Ordinal","GY",0.208955223880597,0,1,0,0.345679012345679
"Accuracy17","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy26","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy34","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy42","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy18","Ordinal","PH",0.208955223880597,0,1,0,0.345679012345679
"Accuracy19","Ordinal","PH",0.208955223880597,0,1,0,0.345679012345679
"Accuracy110","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy20","Ordinal","PH",0.208955223880597,0,1,0,0.345679012345679
"Accuracy111","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy27","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy28","Ordinal","PH",0.208955223880597,0,1,0,0.345679012345679
"Accuracy112","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy29","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy35","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy30","Ordinal","PH",0.208955223880597,0,1,0,0.345679012345679
"Accuracy113","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy210","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy36","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy43","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy37","Ordinal","PHR",0.208955223880597,0,1,0,0.345679012345679
"Accuracy38","Ordinal","PHR",0.208955223880597,0,1,0,0.345679012345679
"Accuracy114","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy39","Ordinal","PHR",0.208955223880597,0,1,0,0.345679012345679
"Accuracy115","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy211","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy40","Ordinal","PHR",0.208955223880597,0,1,0,0.345679012345679
"Accuracy116","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy212","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy310","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy44","Ordinal","PHR",0.208955223880597,0,1,0,0.345679012345679
"Accuracy117","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy213","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy311","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy45","Ordinal","PHR",0.2,0,1,0,0.333333333333333
