"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GC",0.876923076923077,0.565217391304348,0.538461538461538,0.961538461538462,0.636363636363636
"Accuracy2","Ordinal","GC",0.876923076923077,0.565217391304348,0.538461538461538,0.961538461538462,0.636363636363636
"Accuracy1","Ordinal","GC",0.78125,0.183970856102004,0.230769230769231,0.92156862745098,0.3
"Accuracy3","Ordinal","GC",0.876923076923077,0.565217391304348,0.538461538461538,0.961538461538462,0.636363636363636
"Accuracy11","Ordinal","GC",0.78125,0.183970856102004,0.230769230769231,0.92156862745098,0.3
"Accuracy21","Ordinal","GC",0.841269841269841,0.363636363636364,0.333333333333333,0.96078431372549,0.444444444444444
"Accuracy4","Ordinal","GC",0.876923076923077,0.565217391304348,0.538461538461538,0.961538461538462,0.636363636363636
"Accuracy12","Ordinal","GC",0.78125,0.183970856102004,0.230769230769231,0.92156862745098,0.3
"Accuracy22","Ordinal","GC",0.841269841269841,0.363636363636364,0.333333333333333,0.96078431372549,0.444444444444444
"Accuracy31","Ordinal","GC",0.84375,0.323467230443975,0.230769230769231,1,0.375
"Accuracy5","Ordinal","GC",0.876923076923077,0.565217391304348,0.538461538461538,0.961538461538462,0.636363636363636
"Accuracy13","Ordinal","GC",0.78125,0.183970856102004,0.230769230769231,0.92156862745098,0.3
"Accuracy23","Ordinal","GC",0.841269841269841,0.363636363636364,0.333333333333333,0.96078431372549,0.444444444444444
"Accuracy32","Ordinal","GC",0.84375,0.323467230443975,0.230769230769231,1,0.375
"Accuracy41","Ordinal","GC",0.84375,0.41712204007286,0.384615384615385,0.96078431372549,0.5
"Accuracy6","Ordinal","GY",0.8,0.356435643564356,0.461538461538462,0.884615384615385,0.48
"Accuracy7","Ordinal","GY",0.8,0.356435643564356,0.461538461538462,0.884615384615385,0.48
"Accuracy14","Ordinal","GY",0.796875,0.0837004405286344,0.0769230769230769,0.980392156862745,0.133333333333333
"Accuracy8","Ordinal","GY",0.8,0.356435643564356,0.461538461538462,0.884615384615385,0.48
"Accuracy15","Ordinal","GY",0.796875,0.0837004405286344,0.0769230769230769,0.980392156862745,0.133333333333333
"Accuracy24","Ordinal","GY",0.80952380952381,0,0,1,NA
"Accuracy9","Ordinal","GY",0.8,0.356435643564356,0.461538461538462,0.884615384615385,0.48
"Accuracy16","Ordinal","GY",0.796875,0.0837004405286344,0.0769230769230769,0.980392156862745,0.133333333333333
"Accuracy25","Ordinal","GY",0.80952380952381,0,0,1,NA
"Accuracy33","Ordinal","GY",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy10","Ordinal","GY",0.8,0.356435643564356,0.461538461538462,0.884615384615385,0.48
"Accuracy17","Ordinal","GY",0.796875,0.0837004405286344,0.0769230769230769,0.980392156862745,0.133333333333333
"Accuracy26","Ordinal","GY",0.80952380952381,0,0,1,NA
"Accuracy34","Ordinal","GY",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy42","Ordinal","GY",0.828125,0.224669603524229,0.153846153846154,1,0.266666666666667
"Accuracy18","Ordinal","PH",0.8,0,0,1,NA
"Accuracy19","Ordinal","PH",0.8,0,0,1,NA
"Accuracy110","Ordinal","PH",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy20","Ordinal","PH",0.8,0,0,1,NA
"Accuracy111","Ordinal","PH",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy27","Ordinal","PH",0.825396825396825,0.128301886792453,0.0833333333333333,1,0.153846153846154
"Accuracy28","Ordinal","PH",0.8,0,0,1,NA
"Accuracy112","Ordinal","PH",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy29","Ordinal","PH",0.825396825396825,0.128301886792453,0.0833333333333333,1,0.153846153846154
"Accuracy35","Ordinal","PH",0.71875,-0.0491803278688525,0.0769230769230769,0.882352941176471,0.1
"Accuracy30","Ordinal","PH",0.8,0,0,1,NA
"Accuracy113","Ordinal","PH",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy210","Ordinal","PH",0.825396825396825,0.128301886792453,0.0833333333333333,1,0.153846153846154
"Accuracy36","Ordinal","PH",0.71875,-0.0491803278688525,0.0769230769230769,0.882352941176471,0.1
"Accuracy43","Ordinal","PH",0.796875,0,0,1,NA
"Accuracy37","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy38","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy114","Ordinal","PHR",0.796875,0,0,1,NA
"Accuracy39","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy115","Ordinal","PHR",0.796875,0,0,1,NA
"Accuracy211","Ordinal","PHR",0.825396825396825,0.206185567010309,0.166666666666667,0.980392156862745,0.266666666666667
"Accuracy40","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy116","Ordinal","PHR",0.796875,0,0,1,NA
"Accuracy212","Ordinal","PHR",0.825396825396825,0.206185567010309,0.166666666666667,0.980392156862745,0.266666666666667
"Accuracy310","Ordinal","PHR",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy44","Ordinal","PHR",0.815384615384615,0.117647058823529,0.0769230769230769,1,0.142857142857143
"Accuracy117","Ordinal","PHR",0.796875,0,0,1,NA
"Accuracy213","Ordinal","PHR",0.825396825396825,0.206185567010309,0.166666666666667,0.980392156862745,0.266666666666667
"Accuracy311","Ordinal","PHR",0.78125,-0.0298850574712644,0,0.980392156862745,NA
"Accuracy45","Ordinal","PHR",0.796875,0,0,1,NA
