"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy2","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy1","Ordinal","GC",0.203125,0,1,0,0.337662337662338
"Accuracy3","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy11","Ordinal","GC",0.203125,0,1,0,0.337662337662338
"Accuracy21","Ordinal","GC",0.19047619047619,0,1,0,0.32
"Accuracy4","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy12","Ordinal","GC",0.203125,0,1,0,0.337662337662338
"Accuracy22","Ordinal","GC",0.19047619047619,0,1,0,0.32
"Accuracy31","Ordinal","GC",0.203125,0,1,0,0.337662337662338
"Accuracy5","Ordinal","GC",0.2,0,1,0,0.333333333333333
"Accuracy13","Ordinal","GC",0.203125,0,1,0,0.337662337662338
"Accuracy23","Ordinal","GC",0.19047619047619,0,1,0,0.32
"Accuracy32","Ordinal","GC",0.203125,0,1,0,0.337662337662338
"Accuracy41","Ordinal","GC",0.203125,0,1,0,0.337662337662338
"Accuracy6","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy7","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy14","Ordinal","GY",0.203125,0,1,0,0.337662337662338
"Accuracy8","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy15","Ordinal","GY",0.203125,0,1,0,0.337662337662338
"Accuracy24","Ordinal","GY",0.19047619047619,0,1,0,0.32
"Accuracy9","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy16","Ordinal","GY",0.203125,0,1,0,0.337662337662338
"Accuracy25","Ordinal","GY",0.19047619047619,0,1,0,0.32
"Accuracy33","Ordinal","GY",0.203125,0,1,0,0.337662337662338
"Accuracy10","Ordinal","GY",0.2,0,1,0,0.333333333333333
"Accuracy17","Ordinal","GY",0.203125,0,1,0,0.337662337662338
"Accuracy26","Ordinal","GY",0.19047619047619,0,1,0,0.32
"Accuracy34","Ordinal","GY",0.203125,0,1,0,0.337662337662338
"Accuracy42","Ordinal","GY",0.203125,0,1,0,0.337662337662338
"Accuracy18","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy19","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy110","Ordinal","PH",0.203125,0,1,0,0.337662337662338
"Accuracy20","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy111","Ordinal","PH",0.203125,0,1,0,0.337662337662338
"Accuracy27","Ordinal","PH",0.19047619047619,0,1,0,0.32
"Accuracy28","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy112","Ordinal","PH",0.203125,0,1,0,0.337662337662338
"Accuracy29","Ordinal","PH",0.19047619047619,0,1,0,0.32
"Accuracy35","Ordinal","PH",0.203125,0,1,0,0.337662337662338
"Accuracy30","Ordinal","PH",0.2,0,1,0,0.333333333333333
"Accuracy113","Ordinal","PH",0.203125,0,1,0,0.337662337662338
"Accuracy210","Ordinal","PH",0.19047619047619,0,1,0,0.32
"Accuracy36","Ordinal","PH",0.203125,0,1,0,0.337662337662338
"Accuracy43","Ordinal","PH",0.203125,0,1,0,0.337662337662338
"Accuracy37","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy38","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy114","Ordinal","PHR",0.203125,0,1,0,0.337662337662338
"Accuracy39","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy115","Ordinal","PHR",0.203125,0,1,0,0.337662337662338
"Accuracy211","Ordinal","PHR",0.19047619047619,0,1,0,0.32
"Accuracy40","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy116","Ordinal","PHR",0.203125,0,1,0,0.337662337662338
"Accuracy212","Ordinal","PHR",0.19047619047619,0,1,0,0.32
"Accuracy310","Ordinal","PHR",0.203125,0,1,0,0.337662337662338
"Accuracy44","Ordinal","PHR",0.2,0,1,0,0.333333333333333
"Accuracy117","Ordinal","PHR",0.203125,0,1,0,0.337662337662338
"Accuracy213","Ordinal","PHR",0.19047619047619,0,1,0,0.32
"Accuracy311","Ordinal","PHR",0.203125,0,1,0,0.337662337662338
"Accuracy45","Ordinal","PHR",0.203125,0,1,0,0.337662337662338
