"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","Y",0.8,0,0,1,NA
"Accuracy2","Ordinal","Y",0.8,0,0,1,NA
"Accuracy1","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy3","Ordinal","Y",0.8,0,0,1,NA
"Accuracy11","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy21","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy4","Ordinal","Y",0.8,0,0,1,NA
"Accuracy12","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy22","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy31","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy5","Ordinal","Y",0.8,0,0,1,NA
"Accuracy13","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy23","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy32","Ordinal","Y",0.798611111111111,0,0,1,NA
"Accuracy41","Ordinal","Y",0.8,0,0,1,NA
