"","Dataset","Trait","Model","Accuracy","Kappa","Sensitivity","Specificity","F1"
"1","EYT_1_AL","DTHD","Augmented",0.392071086807929,0.0644128938606638,0.855483870967742,0.276280598871562,0.359385133164941
"2","EYT_1_AL","DTHD","Augmented_TH",0.621280473912053,0.175047797278113,0.629677419354839,0.619254520414057,0.400057366783654
"3","EYT_1_AL","DTHD","Conventional",0.7792663476874,0.0723348915863533,0.106236559139785,0.947194455551113,0.186560968737329
"4","EYT_1_AL","DTHD","Conventional_TH",0.381259968102073,0.0614850914151333,0.868243727598566,0.259496201519392,0.358626315121544
"5","EYT_1_AL","DTMT","Augmented",0.386864889496469,0.0595098715551658,0.850179211469534,0.27132258207828,0.356380443151797
"6","EYT_1_AL","DTMT","Augmented_TH",0.579733424470267,0.134501522115804,0.641290322580645,0.564467546314808,0.377557868970435
"7","EYT_1_AL","DTMT","Conventional",0.772055137844611,0.088334096528801,0.133189964157706,0.931520725043316,0.194065779104973
"8","EYT_1_AL","DTMT","Conventional_TH",0.433447254499886,0.0880567192369337,0.838709677419355,0.33227597849749,0.371620922009687
"9","EYT_1_AL","GY","Augmented",0.36784005468216,0.063115274852828,0.898064516129032,0.235532453685192,0.361950172799513
"10","EYT_1_AL","GY","Augmented_TH",0.584780132148553,0.124826048219032,0.605304659498208,0.579625927406815,0.368013271679668
"11","EYT_1_AL","GY","Conventional",0.798051948051948,0.21846988912954,0.241146953405018,0.936931893909103,0.320910990158887
"12","EYT_1_AL","GY","Conventional_TH",0.52302346776031,0.174927812089153,0.882437275985663,0.43335554667022,0.425053281900567
"13","EYT_1_AL","Height","Augmented",0.344098883572568,0.0436320834083685,0.882293906810036,0.209818294904261,0.349909709946409
"14","EYT_1_AL","Height","Augmented_TH",0.551902483481431,0.0528417447277113,0.530752688172043,0.557377049180328,0.315153774772984
"15","EYT_1_AL","Height","Conventional",0.802449305080884,0.184821310687523,0.185519713261649,0.956479630370074,0.269245647969052
"16","EYT_1_AL","Height","Conventional_TH",0.398154477101846,0.0526918028678353,0.809892473118279,0.295295215247234,0.349356198569043
"17","EYT_2_AL","DTHD","Augmented",0.367741935483871,0.0427733152743986,0.836559139784946,0.250537634408602,0.346462359677509
"18","EYT_2_AL","DTHD","Augmented_TH",0.577634408602151,0.123563748918847,0.619354838709678,0.567204301075269,0.369147655560747
"19","EYT_2_AL","DTHD","Conventional",0.793548387096774,0.123839527138091,0.133333333333333,0.958602150537634,0.202984787131129
"20","EYT_2_AL","DTHD","Conventional_TH",0.342795698924731,0.0533145168771412,0.916129032258065,0.199462365591398,0.357972079745518
"21","EYT_2_AL","DTMT","Augmented",0.393118279569892,0.0797844030753113,0.896774193548387,0.267204301075269,0.371584720941939
"22","EYT_2_AL","DTMT","Augmented_TH",0.593548387096774,0.146534185476912,0.634408602150538,0.583333333333333,0.38355440221511
"23","EYT_2_AL","DTMT","Conventional",0.780645161290322,0.158874483653807,0.206451612903226,0.924193548387097,0.271089116950229
"24","EYT_2_AL","DTMT","Conventional_TH",0.408602150537634,0.110119378005146,0.956989247311828,0.271505376344086,0.392966073947073
"25","EYT_2_AL","GY","Augmented",0.377204301075269,0.0707059455878706,0.901075268817204,0.246236559139785,0.366792712201084
"26","EYT_2_AL","GY","Augmented_TH",0.567741935483871,0.134980049991254,0.668817204301076,0.54247311827957,0.382051288269242
"27","EYT_2_AL","GY","Conventional",0.785806451612903,0.175686824075722,0.23010752688172,0.924731182795699,0.278531437006013
"28","EYT_2_AL","GY","Conventional_TH",0.4,0.0812805116089499,0.888172043010753,0.277956989247312,0.371689179922196
"29","EYT_2_AL","Height","Augmented",0.363010752688172,0.0513032430789368,0.870967741935484,0.236021505376344,0.353721912527416
"30","EYT_2_AL","Height","Augmented_TH",0.539354838709677,0.0985198251631266,0.638709677419355,0.514516129032258,0.35834094545948
"31","EYT_2_AL","Height","Conventional",0.788817204301075,0.11025989191293,0.131182795698925,0.953225806451613,0.221269752561916
"32","EYT_2_AL","Height","Conventional_TH",0.331612903225806,0.0553964534152728,0.944086021505376,0.178494623655914,0.360987846855948
"33","EYT_3_AL","DTHD","Augmented",0.417791035319813,0.0818772801966414,0.853801169590643,0.308867476609412,0.369608333247517
"34","EYT_3_AL","DTHD","Conventional",0.779891305960627,0.0606594454596572,0.0934772829509672,0.951598938695713,0.143401474064803
"35","EYT_3_AL","DTHD","Conventional_TH",0.335842250829431,0.0638051067189468,0.961943319838057,0.179234743750873,0.366985881546086
"36","EYT_3_AL","DTMT","Augmented",0.411931713643027,0.0886674617645871,0.883940620782726,0.293743890518084,0.375756375758165
"37","EYT_3_AL","DTMT","Conventional",0.777861574049345,0.0502553677348865,0.0847503373819164,0.95123586091328,0.132601097283554
"38","EYT_3_AL","DTMT","Conventional_TH",0.30712650380737,0.0445259387837305,0.95510571300045,0.145105432202206,0.355647964695461
"39","EYT_3_AL","GY","Augmented",0.390831560220549,0.0824980415673102,0.910571300044984,0.260913280268119,0.374134827998714
"40","EYT_3_AL","GY","Conventional",0.789198219171578,0.24087324640543,0.298335582546109,0.911869850579528,0.359674811403171
