"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.624521072796935,0.144548494983278,0.557692307692308,0.641148325358852,0.371794871794872
"Accuracy2","Ordinal","GY",0.624521072796935,0.144548494983278,0.557692307692308,0.641148325358852,0.371794871794872
"Accuracy1","Ordinal","GY",0.661538461538462,0.230769230769231,0.653846153846154,0.663461538461538,0.435897435897436
"Accuracy3","Ordinal","GY",0.624521072796935,0.144548494983278,0.557692307692308,0.641148325358852,0.371794871794872
"Accuracy11","Ordinal","GY",0.661538461538462,0.230769230769231,0.653846153846154,0.663461538461538,0.435897435897436
"Accuracy21","Ordinal","GY",0.634615384615385,0.190800681431005,0.634615384615385,0.634615384615385,0.409937888198758
"Accuracy4","Ordinal","GY",0.624521072796935,0.144548494983278,0.557692307692308,0.641148325358852,0.371794871794872
"Accuracy12","Ordinal","GY",0.661538461538462,0.230769230769231,0.653846153846154,0.663461538461538,0.435897435897436
"Accuracy22","Ordinal","GY",0.634615384615385,0.190800681431005,0.634615384615385,0.634615384615385,0.409937888198758
"Accuracy31","Ordinal","GY",0.634615384615385,0.165202108963093,0.576923076923077,0.649038461538462,0.387096774193548
"Accuracy5","Ordinal","GY",0.624521072796935,0.144548494983278,0.557692307692308,0.641148325358852,0.371794871794872
"Accuracy13","Ordinal","GY",0.661538461538462,0.230769230769231,0.653846153846154,0.663461538461538,0.435897435897436
"Accuracy23","Ordinal","GY",0.634615384615385,0.190800681431005,0.634615384615385,0.634615384615385,0.409937888198758
"Accuracy32","Ordinal","GY",0.634615384615385,0.165202108963093,0.576923076923077,0.649038461538462,0.387096774193548
"Accuracy41","Ordinal","GY",0.707692307692308,0.298892988929889,0.673076923076923,0.716346153846154,0.479452054794521
