"","Model","Trait","Accuracy","Kappa","Sensitivity","Specificity","F1"
"Accuracy","Ordinal","GY",0.803571428571429,0.0484429065743945,0.0357142857142857,0.995535714285714,0.0677966101694915
"Accuracy2","Ordinal","GY",0.803571428571429,0.0484429065743945,0.0357142857142857,0.995535714285714,0.0677966101694915
"Accuracy1","Ordinal","GY",0.810035842293907,0.0829767441860461,0.0535714285714286,1,0.101694915254237
"Accuracy3","Ordinal","GY",0.803571428571429,0.0484429065743945,0.0357142857142857,0.995535714285714,0.0677966101694915
"Accuracy11","Ordinal","GY",0.810035842293907,0.0829767441860461,0.0535714285714286,1,0.101694915254237
"Accuracy21","Ordinal","GY",0.803571428571429,0.0282685512367494,0.0178571428571429,1,0.0350877192982456
"Accuracy4","Ordinal","GY",0.803571428571429,0.0484429065743945,0.0357142857142857,0.995535714285714,0.0677966101694915
"Accuracy12","Ordinal","GY",0.810035842293907,0.0829767441860461,0.0535714285714286,1,0.101694915254237
"Accuracy22","Ordinal","GY",0.803571428571429,0.0282685512367494,0.0178571428571429,1,0.0350877192982456
"Accuracy31","Ordinal","GY",0.802867383512545,0.0483720930232556,0.0357142857142857,0.995515695067265,0.0677966101694915
"Accuracy5","Ordinal","GY",0.803571428571429,0.0484429065743945,0.0357142857142857,0.995535714285714,0.0677966101694915
"Accuracy13","Ordinal","GY",0.810035842293907,0.0829767441860461,0.0535714285714286,1,0.101694915254237
"Accuracy23","Ordinal","GY",0.803571428571429,0.0282685512367494,0.0178571428571429,1,0.0350877192982456
"Accuracy32","Ordinal","GY",0.802867383512545,0.0483720930232556,0.0357142857142857,0.995515695067265,0.0677966101694915
"Accuracy41","Ordinal","GY",0.810714285714286,0.0830449826989619,0.0535714285714286,1,0.101694915254237
